time,lead_i_mV,lead_ii_mV,lead_iii_mV
0.000,-6.80085897,-10.8369474,-4.03608847
0.004,-6.79665041,-10.8321543,-4.03550386
0.008,-6.78378963,-10.8216314,-4.0378418
0.012,-6.78858328,-10.8343754,-4.0457921
0.016,-6.80752325,-10.8430271,-4.03550386
0.020,-6.79805326,-10.8562384,-4.0581851
0.024,-6.8005085,-10.8539,-4.05339146
0.028,-6.79057074,-10.850276,-4.05970526
0.032,-6.79244137,-10.8487558,-4.05631447
0.036,-6.79758549,-10.8599796,-4.06239414
0.040,-6.78706312,-10.8477039,-4.06064081
0.044,-6.79559803,-10.847002,-4.051404
0.048,-6.79524708,-10.8388176,-4.04357052
0.052,-6.80237913,-10.8547182,-4.05233908
0.056,-6.79361057,-10.8533154,-4.05970478
0.060,-6.79910517,-10.8599796,-4.06087446
0.064,-6.79477978,-10.859746,-4.0649662
0.068,-6.78986931,-10.847002,-4.05713272
0.072,-6.80553579,-10.8468847,-4.04134893
0.076,-6.80623722,-10.8537827,-4.04754543
0.080,-6.81442118,-10.8650064,-4.05058527
0.084,-6.80366516,-10.8377657,-4.03410053
0.088,-6.79735184,-10.8367138,-4.03936195
0.092,-6.79688406,-10.8507433,-4.05385923
0.096,-6.81021214,-10.8657084,-4.05549622
0.100,-6.8010931,-10.8701506,-4.06905746
0.104,-6.7887001,-10.8549519,-4.06625175
0.108,-6.79033709,-10.8562384,-4.06590128
0.112,-6.79080439,-10.8589268,-4.06812239
0.116,-6.76753855,-10.8339081,-4.06636953
0.120,-6.75210619,-10.7971964,-4.0450902
0.124,-6.7549119,-10.7676182,-4.01270628
0.128,-6.74520826,-10.7576799,-4.01247168
0.132,-6.75748396,-10.7526531,-3.99516916
0.136,-6.72428083,-10.744586,-4.02030516
0.140,-6.72100735,-10.7659807,-4.04497337
0.144,-6.69411707,-10.7443523,-4.05023527
0.148,-6.69984579,-10.7089272,-4.00908136
0.152,-6.71060181,-10.7296209,-4.01901913
0.156,-6.71948719,-10.7675009,-4.04801369
0.160,-6.72872353,-10.7774382,-4.04871464
0.164,-6.72077322,-10.7466898,-4.02591658
0.168,-6.72392988,-10.7733469,-4.04941702
0.172,-6.71551228,-10.8135643,-4.09805202
0.176,-6.72720337,-10.8295822,-4.10237885
0.180,-6.73211384,-10.8282957,-4.09618187
0.184,-6.7426362,-10.837532,-4.09489584
0.188,-6.73760891,-10.8312187,-4.09360981
0.192,-6.78893375,-10.8757629,-4.08682919
0.196,-6.78893375,-10.8757629,-4.08682919
0.200,-6.79898834,-10.8887405,-4.0897522
0.204,-6.80553579,-10.9041729,-4.0986371
0.208,-6.81301832,-10.9044065,-4.09138823
0.212,-6.81629181,-10.9294262,-4.11313438
0.216,-6.82272196,-10.9330502,-4.1103282
0.220,-6.82447577,-10.9337521,-4.10927629
0.224,-6.81348562,-10.9214764,-4.10799074
0.228,-6.81360245,-10.9288416,-4.11523914
0.232,-6.814538,-10.9280233,-4.11348534
